"","date","depth_m","dataset_id","seaTemp","seaSal","seaPH","seaTCO2","seaTA","seaDO","seaChl","seaSi","seaNH4","seaNO3","seaNO2","seaPO3","distanceSho","huc8","ta_hucMean","ta_hucMax","ta_hucMin","numberRiv_15km","composite_fw_expose","flowYear_cfs","flowYear_m3s","distanceRiv","soilpH_hucMean","soilpH_hucMax","lat","lon","latInteger","year","month","day","upwell","upwellN"
"1",2007-05-21,4.1,24,11.164,32.4,NA,1877.9,2201.6,375.3,NA,0.02,NA,0.48,0.01,0.04,9.08875766900225,"17090003",2172.66666666667,3480,0,14,4.22835455604731,1044.872,29.5874314496,7564.43184586159,59.3041790989099,76,44.65,-124.16,45,2007,5,21,0.547,4.634
"2",2007-05-21,9.6,24,11.04,32.54,NA,1875,2200.6,387,NA,0.01,NA,0.48,0.01,0.02,9.08875766900225,"17090003",2172.66666666667,3480,0,14,4.22835455604731,1044.872,29.5874314496,7564.43184586159,59.3041790989099,76,44.65,-124.16,45,2007,5,21,0.547,4.634
"3",2007-05-21,14.9,24,10.164,33.25,NA,2014,2244,343.4,NA,5.45,NA,1.43,0.02,0.26,9.08875766900225,"17090003",2172.66666666667,3480,0,14,4.22835455604731,1044.872,29.5874314496,7564.43184586159,59.3041790989099,76,44.65,-124.16,45,2007,5,21,0.547,4.634
"4",2007-05-21,19.7,24,9.839,33.42,NA,2041.6,2252,312.7,NA,7.17,NA,4.18,0.06,0.87,9.08875766900225,"17090003",2172.66666666667,3480,0,14,4.22835455604731,1044.872,29.5874314496,7564.43184586159,59.3041790989099,76,44.65,-124.16,45,2007,5,21,0.547,4.634
"5",2007-05-21,24.5,24,9.668,33.45,NA,2069.6,2240.5,297.6,NA,9.24,NA,8.54,0.11,0.92,9.08875766900225,"17090003",2172.66666666667,3480,0,14,4.22835455604731,1044.872,29.5874314496,7564.43184586159,59.3041790989099,76,44.65,-124.16,45,2007,5,21,0.547,4.634
"6",2007-05-21,30.3,24,8.528,33.6,NA,2190.1,2239.6,149.2,NA,40.5,NA,27.3,0.25,2.13,9.08875766900225,"17090003",2172.66666666667,3480,0,14,4.22835455604731,1044.872,29.5874314496,7564.43184586159,59.3041790989099,76,44.65,-124.16,45,2007,5,21,0.547,4.634
"7",2007-05-21,41.6,24,8.008,33.8,NA,2224.4,2249.6,87.7,NA,48.06,NA,30.66,0.25,2.34,9.08875766900225,"17090003",2172.66666666667,3480,0,14,4.22835455604731,1044.872,29.5874314496,7564.43184586159,59.3041790989099,76,44.65,-124.16,45,2007,5,21,0.547,4.634
"8",2007-05-24,5.1,24,7.886,33.86,NA,2225.6,2263.2,138.5,NA,51.78,NA,29.78,0.27,2.26,8.68882247880597,"18010101",783.998095238095,3880,110.2,15,9.78675709878094,2.69,0.076172192,8116.17915713838,53.1843009733119,71,41.99,-124.35,42,2007,5,24,0.594,14.016
"9",2007-05-24,9.8,24,7.696,33.91,NA,2235.6,2267.4,116,NA,52.98,NA,30.63,0.24,2.31,8.68882247880597,"18010101",783.998095238095,3880,110.2,15,9.78675709878094,2.69,0.076172192,8116.17915713838,53.1843009733119,71,41.99,-124.35,42,2007,5,24,0.594,14.016
"10",2007-05-24,15.2,24,7.56,34,NA,2237.5,2270.7,106.4,NA,53.41,NA,30.85,0.23,2.33,8.68882247880597,"18010101",783.998095238095,3880,110.2,15,9.78675709878094,2.69,0.076172192,8116.17915713838,53.1843009733119,71,41.99,-124.35,42,2007,5,24,0.594,14.016
"11",2007-05-24,19.8,24,7.33,34.01,NA,2247.5,2273.9,88.8,NA,54,NA,31.62,0.21,2.38,8.68882247880597,"18010101",783.998095238095,3880,110.2,15,9.78675709878094,2.69,0.076172192,8116.17915713838,53.1843009733119,71,41.99,-124.35,42,2007,5,24,0.594,14.016
"12",2007-05-24,24.7,24,7.21,34.02,NA,2249.3,2273.3,81.6,NA,54.08,NA,32.14,0.21,2.42,8.68882247880597,"18010101",783.998095238095,3880,110.2,15,9.78675709878094,2.69,0.076172192,8116.17915713838,53.1843009733119,71,41.99,-124.35,42,2007,5,24,0.594,14.016
"13",2007-05-24,30.2,24,7.032,34.03,NA,2259.2,2272.5,66.9,NA,55.77,NA,32.9,0.2,2.5,8.68882247880597,"18010101",783.998095238095,3880,110.2,15,9.78675709878094,2.69,0.076172192,8116.17915713838,53.1843009733119,71,41.99,-124.35,42,2007,5,24,0.594,14.016
"14",2007-05-24,40.4,24,6.937,34.04,NA,2263.4,2278.3,59.1,NA,57.62,NA,33.98,0.22,2.55,8.68882247880597,"18010101",783.998095238095,3880,110.2,15,9.78675709878094,2.69,0.076172192,8116.17915713838,53.1843009733119,71,41.99,-124.35,42,2007,5,24,0.594,14.016
"15",2007-05-26,3.2,24,7.821,34,NA,2200.2,2276.5,178.5,NA,43.46,NA,26.63,0.22,2,5.29861069040437,"18010107",1311.11111111111,1920,800,12,8.07188845750754,0.477,0.0135071136,2706.35358744255,54.3408066712054,73,40.26,-124.39,40,2007,5,26,1.304,26.537
"16",2007-05-26,9.3,24,7.799,34,NA,2202.2,2276.2,173.9,NA,43.27,NA,26.67,0.22,2,5.29861069040437,"18010107",1311.11111111111,1920,800,12,8.07188845750754,0.477,0.0135071136,2706.35358744255,54.3408066712054,73,40.26,-124.39,40,2007,5,26,1.304,26.537
"17",2007-05-26,14.9,24,7.833,34,NA,2201.4,2278.7,210.8,NA,43.11,NA,26.54,0.22,1.99,5.29861069040437,"18010107",1311.11111111111,1920,800,12,8.07188845750754,0.477,0.0135071136,2706.35358744255,54.3408066712054,73,40.26,-124.39,40,2007,5,26,1.304,26.537
"18",2007-05-26,19.3,24,7.814,34,NA,2201.9,2274.4,169.6,NA,43.24,NA,27.05,0.21,2,5.29861069040437,"18010107",1311.11111111111,1920,800,12,8.07188845750754,0.477,0.0135071136,2706.35358744255,54.3408066712054,73,40.26,-124.39,40,2007,5,26,1.304,26.537
"19",2007-05-26,24.8,24,7.82,34,NA,2201.2,2275,173.5,NA,42.96,NA,26.85,0.21,1.99,5.29861069040437,"18010107",1311.11111111111,1920,800,12,8.07188845750754,0.477,0.0135071136,2706.35358744255,54.3408066712054,73,40.26,-124.39,40,2007,5,26,1.304,26.537
"20",2007-05-26,30.2,24,7.671,34.02,NA,2207,2271.8,152.7,NA,44.49,NA,27.99,0.21,2.09,5.29861069040437,"18010107",1311.11111111111,1920,800,12,8.07188845750754,0.477,0.0135071136,2706.35358744255,54.3408066712054,73,40.26,-124.39,40,2007,5,26,1.304,26.537
"21",2007-05-26,45,24,7.375,34.04,NA,2229.6,2273,107,NA,48.13,NA,30.68,0.22,2.35,5.29861069040437,"18010107",1311.11111111111,1920,800,12,8.07188845750754,0.477,0.0135071136,2706.35358744255,54.3408066712054,73,40.26,-124.39,40,2007,5,26,1.304,26.537
"22",2007-05-28,4.6,24,9.111,33.96,NA,2096.7,2274.4,291.4,NA,17.58,NA,11.57,0.19,1.06,4.22905490124182,"18010109",2468.21052631579,5600,1110,14,7.30468566036837,1.869,0.0529240992,4687.72547259474,55.6792147676667,74,38.47,-123.25,38,2007,5,28,1.779,33.932
"23",2007-05-28,9.3,24,8.924,33.96,NA,2112.5,2270.3,274,NA,18.99,NA,12.65,0.19,1.02,4.22905490124182,"18010109",2468.21052631579,5600,1110,14,7.30468566036837,1.869,0.0529240992,4687.72547259474,55.6792147676667,74,38.47,-123.25,38,2007,5,28,1.779,33.932
"24",2007-05-28,15.9,24,8.818,33.96,NA,2131.7,2271.1,254.1,NA,20.53,NA,14.56,0.18,1.19,4.22905490124182,"18010109",2468.21052631579,5600,1110,14,7.30468566036837,1.869,0.0529240992,4687.72547259474,55.6792147676667,74,38.47,-123.25,38,2007,5,28,1.779,33.932
"25",2007-05-28,20.5,24,8.714,33.97,NA,2141,2267.7,238.9,NA,23.45,NA,16.76,0.19,1.33,4.22905490124182,"18010109",2468.21052631579,5600,1110,14,7.30468566036837,1.869,0.0529240992,4687.72547259474,55.6792147676667,74,38.47,-123.25,38,2007,5,28,1.779,33.932
"26",2007-05-28,24.2,24,8.691,33.97,NA,2145.2,2267.6,233.4,NA,24.37,NA,17.06,0.2,1.7,4.22905490124182,"18010109",2468.21052631579,5600,1110,14,7.30468566036837,1.869,0.0529240992,4687.72547259474,55.6792147676667,74,38.47,-123.25,38,2007,5,28,1.779,33.932
"27",2007-05-28,30.2,24,8.563,33.97,NA,2159.4,2265.3,214.6,NA,28.48,NA,19.53,0.21,2,4.22905490124182,"18010109",2468.21052631579,5600,1110,14,7.30468566036837,1.869,0.0529240992,4687.72547259474,55.6792147676667,74,38.47,-123.25,38,2007,5,28,1.779,33.932
